title,author_name,year,rating,ratings
Egomaniac,Vi Keeland,2017,4.22,44747
The Winner's Kiss,Marie Rutkoski,2016,4.22,46572
The Prize,Julie Garwood,1991,4.22,29102
The Dream Thieves,Maggie Stiefvater,2013,4.22,182623
Beauty from Pain,Georgia Cates,2013,4.22,55542
The Score,Elle Kennedy,2016,4.21,195637
Safe Haven,Nicholas Sparks,2010,4.21,363661
A Kingdom of Dreams,Judith McNaught,1989,4.21,50780
Mystery Man,Kristen Ashley,2011,4.21,70047
Life's Too Short,Abby Jimenez,2021,4.21,53005
Before We Were Strangers,Renee Carlino,2015,4.21,55835
Down London Road,Samantha Young,2013,4.21,52006
Forever Too Far,Abbi Glines,2013,4.21,84454
Beauty and the Mustache,Penny Reid,2014,4.21,27550
Reason to Breathe,Rebecca    Donovan,2011,4.21,90348
Dance of Thieves,Mary E. Pearson,2018,4.21,70427
The Obsession,Nora Roberts,2016,4.21,71821
Finale,Stephanie Garber,2019,4.21,96804
Never Love a Highlander,Maya Banks,2011,4.21,25853
Simon vs. the Homo Sapiens Agenda,Becky Albertalli,2015,4.2,389450
Carry On,Rainbow Rowell,2015,4.2,280623
Five Feet Apart,Rachael Lippincott,2018,4.2,173328
Delilah Green Doesn't Care,Ashley Herring Blake,2022,4.2,26876
Love in the Afternoon,Lisa Kleypas,2010,4.2,44436
Dance Upon the Air,Nora Roberts,2001,4.2,68172
A Knight in Shining Armor,Jude Deveraux,1989,4.2,35480
Once Burned,Jeaniene Frost,2012,4.2,66290
Archangel's Kiss,Nalini Singh,2010,4.2,55634
I Wish You All the Best,Mason Deaver,2019,4.2,35376
White Hot Kiss,Jennifer L. Armentrout,2014,4.2,71136
The Opportunist,Tarryn Fisher,2011,4.2,51392
Own the Wind,Kristen Ashley,2013,4.2,47464
Beard in Mind,Penny Reid,2017,4.2,22558
The Bird and the Sword,Amy Harmon,2016,4.2,36320
Gentle Rogue,Johanna Lindsey,1990,4.2,21517
Collide,Gail McHugh,2013,4.2,64734
The Iron Queen,Julie Kagawa,2011,4.2,104266
A Court of Thorns and Roses,Sarah J. Maas,2015,4.19,1141409
Kiss an Angel,Susan Elizabeth Phillips,1996,4.19,58552
Night Pleasures,Sherrilyn Kenyon,2002,4.19,77021
Tears of the Moon,Nora Roberts,2000,4.19,33160
The Book of Life,Deborah Harkness,2014,4.19,171986
Chesapeake Blue,Nora Roberts,2002,4.19,33157
Frederica,Georgette Heyer,1965,4.19,20606
Under the Whispering Door,T.J. Klune,2021,4.19,102049
Wild Man,Kristen Ashley,2011,4.19,42456
Smaragdgrün,Kerstin Gier,2010,4.19,88106
By a Thread,Lucy Score,2020,4.19,52857
On Dublin Street,Samantha Young,2012,4.18,189455
Unravel Me,Tahereh Mafi,2013,4.18,310275
Happy Ever After,Nora Roberts,2010,4.18,57059
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,2008,4.18,698006
Dreaming of You,Lisa Kleypas,1994,4.18,40674
Autoboyography,Christina Lauren,2017,4.18,47602
Rules of Attraction,Simone Elkeles,2010,4.18,86658
Once and Always,Judith McNaught,1987,4.18,25997
Ruckus,L.J. Shen,2017,4.18,49537
Scandalous,L.J. Shen,2017,4.18,45822
The One,Kiera Cass,2014,4.17,574496
The Happy Ever After Playlist,Abby Jimenez,2020,4.17,68882
Today Tonight Tomorrow,Rachel Lynn Solomon,2020,4.17,45486
Tempt Me at Twilight,Lisa Kleypas,2009,4.17,41823
The Coincidence of Callie & Kayden,Jessica Sorensen,2012,4.17,114624
Never Too Far,Abbi Glines,2013,4.17,119168
Key of Light,Nora Roberts,2003,4.17,59041
The Perfect Hope,Nora Roberts,2012,4.17,43739
The Air He Breathes,Brittainy C. Cherry,2015,4.17,57678
Rock Chick,Kristen Ashley,2008,4.17,56208
Saphirblau,Kerstin Gier,2010,4.17,97457
Shelter Mountain,Robyn Carr,2007,4.17,37378
The Pagan Stone,Nora Roberts,2008,4.17,30352
Restore Me,Tahereh Mafi,2018,4.17,116386
King,T.M. Frazier,2015,4.17,43994
The Fault in Our Stars,John Green,2012,4.16,4501032
"Red, White & Royal Blue",Casey McQuiston,2019,4.16,607767
Bared to You,Sylvia Day,2012,4.16,498707
Divergent,Veronica Roth,2011,4.16,3540949
Dark Lover,J.R. Ward,2005,4.16,320970
"Act Your Age, Eve Brown",Talia Hibbert,2021,4.16,64493
Fallen Too Far,Abbi Glines,2012,4.16,169269
Legend,Marie Lu,2011,4.16,487553
A Thousand Boy Kisses,Tillie Cole,2016,4.16,102788
Beautiful Stranger,Christina Lauren,2013,4.16,86066
The Longest Ride,Nicholas Sparks,2012,4.16,127530
Real,Katy Evans,2013,4.16,106565
Bossman,Vi Keeland,2016,4.16,63756
Finding Cinderella,Colleen Hoover,2013,4.16,87058
Born in Ice,Nora Roberts,1995,4.16,36638
Eliza and Her Monsters,Francesca Zappia,2017,4.16,60125
Blood Brothers,Nora Roberts,2007,4.16,52509
The Wedding,Julie Garwood,1995,4.16,33476
Love From A to Z,S.K. Ali,2019,4.16,15600
The Mighty Storm,Samantha Towle,2012,4.16,72206
Dance of the Gods,Nora Roberts,2006,4.16,29877
The Darkest Minds,Alexandra Bracken,2012,4.16,176313
Stay with Me,Jennifer L. Armentrout,2014,4.16,32339
Swear on This Life,Renee Carlino,2016,4.16,36950
Seduction of a Highland Lass,Maya Banks,2011,4.16,24224
The Last Song,Nicholas Sparks,2008,4.15,536546
Obsidian,Jennifer L. Armentrout,2011,4.15,267374
I'll Give You the Sun,Jandy Nelson,2014,4.15,309331
Fantasy Lover,Sherrilyn Kenyon,2002,4.15,90374
The Grand Sophy,Georgette Heyer,1950,4.15,30755
Never Seduce a Scot,Maya Banks,2012,4.15,31542
Natural Born Charmer,Susan Elizabeth Phillips,2007,4.15,35013
Face the Fire,Nora Roberts,2002,4.15,39714
Heart of the Sea,Nora Roberts,2000,4.15,30801
Hani and Ishu's Guide to Fake Dating,Adiba Jaigirdar,2021,4.15,21328
Once Upon a Broken Heart,Stephanie Garber,2021,4.15,58490
A Not So Meet Cute,Meghan Quinn,2021,4.15,60854
Aristotle and Dante Dive into the Waters of the World,Benjamin Alire Sáenz,2021,4.15,51341
World After,Susan Ee,2013,4.15,100144
Dear Ava,Ilsa Madden-Mills,2020,4.15,41261
Top Secret,Sarina Bowen,2019,4.15,17678
Jane Eyre,Charlotte Brontë,1847,4.14,1896342
All the Bright Places,Jennifer Niven,2015,4.14,471843
Memoirs of a Geisha,Arthur Golden,1997,4.14,1885367
Savor the Moment,Nora Roberts,2010,4.14,55327
Married by Morning,Lisa Kleypas,2010,4.14,39467
North and South,Elizabeth Gaskell,1854,4.14,158995
Days of Blood & Starlight,Laini Taylor,2012,4.14,156341
Smooth Talking Stranger,Lisa Kleypas,2009,4.14,39342
Heaven and Earth,Nora Roberts,2001,4.14,40486
Flock,Kate  Stewart,2020,4.14,65945
Moon Called,Patricia Briggs,2006,4.14,196203
Morrigan's Cross,Nora Roberts,2006,4.14,52998
Hate Notes,Vi Keeland,2018,4.14,63594
Chasing Cassandra,Lisa Kleypas,2020,4.14,24023
Finale,Becca Fitzpatrick,2012,4.14,163162
Grin and Beard It,Penny Reid,2016,4.14,27092
First Drop of Crimson,Jeaniene Frost,2010,4.14,56219
The Hollow,Nora Roberts,2008,4.14,31799
The Notebook,Nicholas Sparks,1996,4.13,1537458
Call Me By Your Name,André Aciman,2007,4.13,389241
City of Ashes,Cassandra Clare,2008,4.13,865831
Halfway to the Grave,Jeaniene Frost,2007,4.13,151672
The Bodyguard,Katherine Center,2022,4.13,46261
Match Me If You Can,Susan Elizabeth Phillips,2005,4.13,45324
Perfection,R.L. Mathewson,2011,4.13,64231
Dreams of Gods & Monsters,Laini Taylor,2014,4.13,102978
Key of Valor,Nora Roberts,2003,4.13,36182
"Whitney, My Love",Judith McNaught,1985,4.13,34654
You Should See Me in a Crown,Leah  Johnson,2020,4.13,36131
The Highlander's Touch,Karen Marie Moning,2000,4.13,31955
Checkmate,R.L. Mathewson,2012,4.13,47848
A Very Large Expanse of Sea,Tahereh Mafi,2018,4.13,51694
Chasing Fire,Nora Roberts,2011,4.13,38137
Fixed on You,Laurelin Paige,2013,4.13,54771
Black Hills,Nora Roberts,2009,4.13,38453
Sylvester,Georgette Heyer,1957,4.13,15870
Second Chance Summer,Morgan Matson,2012,4.13,50899
The Lucky One,Nicholas Sparks,2007,4.12,347631
Vision in White,Nora Roberts,2009,4.12,134276
The Truth About Forever,Sarah Dessen,2004,4.12,218798
Bed of Roses,Nora Roberts,2009,4.12,60829
The Next Always,Nora Roberts,2011,4.12,79935
A Hunger Like No Other,Kresley Cole,2006,4.12,78645
Naked in Death,J.D. Robb,1995,4.12,181828
Rule,Jay Crownover,2012,4.12,97511
Dead to the World,Charlaine Harris,2004,4.12,253637
Still Me,Jojo Moyes,2018,4.12,181067
Captivated by You,Sylvia Day,2014,4.12,104998
Rubinrot,Kerstin Gier,2009,4.12,138597
Cry Wolf,Patricia Briggs,2008,4.12,97790
Pretty Reckless,L.J. Shen,2019,4.12,56819
Key of Knowledge,Nora Roberts,2003,4.12,36506
Be with Me,Jennifer L. Armentrout,2014,4.12,46763
Love Hacked,Penny Reid,2014,4.12,24306
Release Me,J. Kenner,2013,4.12,77852
Royally Matched,Emma Chase,2017,4.12,22965
The Darkest Temptation,Danielle Lori,2020,4.12,65357
Because of Low,Abbi Glines,2012,4.12,55748
Vampire Academy,Richelle Mead,2007,4.11,614151
A Week to Be Wicked,Tessa Dare,2012,4.11,31300
Lover Enshrined,J.R. Ward,2008,4.11,113315
On the Island,Tracey Garvis Graves,2011,4.11,81213
Marrying Winterborne,Lisa Kleypas,2016,4.11,35087
Venetia,Georgette Heyer,1958,4.11,16407
Destroy Me,Tahereh Mafi,2012,4.11,137383
Water for Elephants,Sara Gruen,2006,4.1,1520037
One True Loves,Sarah MacLean,2016,4.1,164083
Love & Gelato,Jenna Evans Welch,2016,4.1,102568
Ten Tiny Breaths,K.A. Tucker,2012,4.1,76134
The Dead Romantics,Ashley Poston,2022,4.1,27054
Stuck-Up Suit,Vi Keeland,2016,4.1,65530
Luna and the Lie,Mariana Zapata,2018,4.1,43382
Fire,Kristin Cashore,2009,4.1,177298
Born in Shame,Nora Roberts,1996,4.1,34165
The Winner's Crime,Marie Rutkoski,2015,4.1,62529
The Stopover,T.L. Swan,2019,4.1,83232
The Game Plan,Kristen Callihan,2015,4.1,29269
"It Ain't Me, Babe",Tillie Cole,2014,4.1,43938
Call Me Irresistible,Susan Elizabeth Phillips,2010,4.1,23057
Finding the Dream,Nora Roberts,1997,4.1,21944
The Sweetest Thing,Jill Shalvis,2011,4.1,19800
Boyfriend Material,Alexis  Hall,2020,4.09,81105
The Cruel Prince,Holly Black,2018,4.09,721361
Seven Days in June,Gayle Forman,2021,4.09,78605
City of Fallen Angels,Cassandra Clare,2011,4.09,559039
Slave to Sensation,Nalini Singh,2006,4.09,70446
Lord of Scoundrels,Loretta Chase,1995,4.09,34076
Thoughtless,S.C. Stephens,2012,4.09,138379
Devil in Spring,Lisa Kleypas,2017,4.09,34046
Boyfriend Material,Alexis  Hall,2020,4.09,81106
Since You've Been Gone,Morgan Matson,2014,4.09,109598
This Heart of Mine,Lisa Kleypas,2001,4.09,30843
Chain Reaction,Simone Elkeles,2011,4.09,62409
Counting Down with You,Tashie Bhuiyan,2021,4.09,15123
Malibu Rising,Taylor Jenkins Reid,2021,4.09,595597
Until November,Aurora Rose Reynolds,2013,4.09,50523
These Old Shades,Georgette Heyer,1926,4.09,18068
Love Irresistibly,Julie James,2013,4.09,17950
Flowers from the Storm,Laura Kinsale,1992,4.09,14924
Fallen Crest High,Tijan,2012,4.09,54947
Happily Ever After,Kiera Cass,2015,4.09,56952
Sense and Sensibility,Jane Austen,1811,4.08,1092091
City of Bones,Cassandra Clare,2007,4.08,1860270
Easy,Tammara Webber,2012,4.08,225554
The Sweetest Oblivion,Danielle Lori,2018,4.08,143376
Lick,Kylie Scott,2013,4.08,84934
Heartless,Marissa Meyer,2016,4.08,151923
The Last Boyfriend,Nora Roberts,2012,4.08,46691
Dragon Bound,Thea Harrison,2011,4.08,48193
Sorcery of Thorns,Margaret  Rogerson,2019,4.08,96114
Visions of Heat,Nalini Singh,2007,4.08,38315
Red Lily,Nora Roberts,2005,4.08,38459
Devil's Bride,Stephanie Laurens,1998,4.08,20804
In Flight,R.K. Lilley,2012,4.08,76825
Cotillion,Georgette Heyer,1953,4.08,15398
Arabella,Georgette Heyer,1949,4.08,18588
Ain't She Sweet?,Susan Elizabeth Phillips,2004,4.08,23538
The Iron Daughter,Julie Kagawa,2010,4.08,124451
The Scorpio Races,Maggie Stiefvater,2011,4.08,105997
How to Walk Away,Katherine Center,2018,4.08,67507
Sparrow,L.J. Shen,2016,4.08,48585
Hideaway,Penelope Douglas,2017,4.08,58200
To All the Boys I've Loved Before,Jenny Han,2014,4.07,739461
It Happened One Summer,Tessa Bailey,2021,4.07,255193
The Wrath and the Dawn,Renée Ahdieh,2015,4.07,160644
Love on the Brain,Ali Hazelwood,2022,4.07,87537
Angels' Blood,Nalini Singh,2009,4.07,87377
Seduce Me at Sunrise,Lisa Kleypas,2008,4.07,39570
Shadow of Night,Deborah Harkness,2012,4.07,219870
I Kissed Shara Wheeler,Casey McQuiston,2022,4.07,36892
Do You Want to Start a Scandal,Tessa Dare,2016,4.07,18892
A Lot like Love,Julie James,2011,4.07,31866
The Play,Elle Kennedy,2019,4.07,59152
Isn't It Bromantic?,Lyssa Kay Adams,2021,4.07,20046
Seduction and Snacks,Tara Sivec,2012,4.07,52342
Perfect on Paper,Sophie Gonzales,2021,4.07,21852
The Other Boleyn Girl,Philippa Gregory,2001,4.07,482030
The Winter King,C.L. Wilson,2014,4.07,18752
Carolina Moon,Nora Roberts,2000,4.07,43099
The Summer of Broken Rules,K.L. Walther,2021,4.07,28866
Wildest Dreams,Kristen Ashley,2011,4.07,31819
Slippery Creatures,K.J. Charles,2020,4.07,7845
The Fastest Way to Fall,Denise  Williams,2021,4.07,13463
Beach Read,Emily Henry,2020,4.06,607628
"Take a Hint, Dani Brown",Talia Hibbert,2020,4.06,75803
When Beauty Tamed the Beast,Eloisa James,2011,4.06,27254
The Rose & the Dagger,Renée Ahdieh,2016,4.06,85841
Hello Stranger,Lisa Kleypas,2018,4.06,23454
Stepbrother Dearest,Penelope Ward,2014,4.06,66152
The Suffragette Scandal,Courtney Milan,2014,4.06,8335
Mr. Perfect,Linda Howard,2000,4.06,34063
Beautiful Secret,Christina Lauren,2015,4.06,32632
Shadow Spell,Nora Roberts,2014,4.06,37196
P.S. I Still Love You,Jenny Han,2015,4.05,321648
The Mistake,Elle Kennedy,2015,4.05,225576
The Gentleman's Guide to Vice and Virtue,Mackenzi Lee,2017,4.05,124688
Pushing the Limits,Katie McGarry,2012,4.05,121285
Just Listen,Sarah Dessen,2006,4.05,243619
The Madness of Lord Ian Mackenzie,Jennifer Ashley,2009,4.05,35753
The Raven Boys,Maggie Stiefvater,2012,4.05,332644
Uprooted,Naomi Novik,2015,4.05,209681
P.S. I Like You,Kasie West,2016,4.05,54335
The Darkest Night,Gena Showalter,2008,4.05,82413
Again the Magic,Lisa Kleypas,2004,4.05,38636
Tell Me Three Things,Julie Buxbaum,2016,4.05,70824
Always Only You,Chloe Liese,2020,4.05,24067
"Heaven, Texas",Susan Elizabeth Phillips,1995,4.05,33014
All Together Dead,Charlaine Harris,2007,4.05,195863
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,1978,4.05,77679
Magic Bites,Ilona Andrews,2007,4.05,117960
Garden Spells,Sarah Addison Allen,2007,4.05,94698
Hero,Samantha Young,2015,4.05,32391
Sweet Temptation,Cora Reilly,2020,4.05,47534
Transcendence,Shay Savage,2014,4.05,20945
Love Only Once,Johanna Lindsey,1985,4.05,19449
Starcrossed,Josephine Angelini,2011,4.05,71063
The Flatshare,Beth O'Leary,2019,4.04,276885
Emma,Jane Austen,1815,4.04,784651
The Soulmate Equation,Christina Lauren,2021,4.04,136796
Dear John,Nicholas Sparks,2006,4.04,577789
Along for the Ride,Sarah Dessen,2009,4.04,200653
The Lady's Guide to Celestial Mechanics,Olivia Waite,2019,4.04,9945
Pandemonium,Lauren Oliver,2012,4.04,231558
Any Duchess Will Do,Tessa Dare,2013,4.04,23816
A Promise of Fire,Amanda Bouchet,2016,4.04,32350
On the Edge,Ilona Andrews,2009,4.04,42672
Just Last Night,Mhairi McFarlane,2021,4.04,31666
Pleasure Unbound,Larissa Ione,2008,4.04,53139
About That Night,Julie James,2012,4.04,24376
How to Marry a Marquis,Julia Quinn,1999,4.04,20497
Bittersweet,Sarina Bowen,2016,4.04,19508
A Prince on Paper,Alyssa Cole,2019,4.04,5598
Daring to Dream,Nora Roberts,1996,4.04,25394
Good Boy,Sarina Bowen,2017,4.04,20456
Magic Study,Maria V. Snyder,2006,4.04,76628
One for the Money,Janet Evanovich,1994,4.04,520424
The Night Circus,Erin Morgenstern,2011,4.03,849454
Secrets of a Summer Night,Lisa Kleypas,2004,4.03,67926
Red Queen,Victoria Aveyard,2015,4.03,833765
Serpent & Dove,Shelby Mahurin,2019,4.03,220662
P.S. I Love You,Cecelia Ahern,2004,4.03,365580
Playing for Keeps,R.L. Mathewson,2011,4.03,111514
Scandal in Spring,Lisa Kleypas,2006,4.03,48206
Norwegian Wood,Haruki Murakami,1987,4.03,490161
A Rogue of One's Own,Evie Dunmore,2020,4.03,30188
One Good Earl Deserves a Lover,Sarah MacLean,2013,4.03,29368
The Unbecoming of Mara Dyer,Michelle Hodkin,2011,4.03,168341
On the Fence,Kasie West,2014,4.03,57713
